id,ime_barke,tip_barke,cena,dolzina,sirina,letnik,st_kabin,st_ur,drzava
114,Halmatic 34 OPEN,Pilothouse,109000,10.22,2.25,2004,2,550,Italy
1140,Bénéteau Antares 9 OB FB,Pilothouse,130000,9.0,3.0,2021,2,96,
1141,Cranchi Turchese 24,Sport Boat,26000,7.81,2.5,1994,1,600,Italy
1142,Menorquin 160 HARD TOP,Motor Yacht,320000,15.95,5.0,2011,3,950,Italy
1143,Aprea Fratelli Sorrento 750 Open,Deck Boat,50000,7.5,2.9,1995,,215,Italy
1144,"Manò Marine MANO' 24,50 CRUISER",Sport Boat,35000,7.8,2.8,2007,1,318,Italy
1145,Boston Whaler BOSTON 305 CONQUEST,Motor Yacht,125000,9.77,3.22,2006,1,800,Italy
1146,Arvor 230 AS,Pilothouse,30000,7.2,2.5,2005,1,450,Italy
1147,Sea Ray 315 SUNDANCER,Sport Boat,85000,8.72,3.0,2003,2,370,Italy
1148,Manò Marine M 35,Superyacht,120000,12.0,3.94,2008,2,800,Italy
1149,Cruisers Yachts Cruiser 300 cxi,Classic Power Boat,98000,9.52,3.04,,,,Italy
115,Sanlorenzo SL 72,Flybridge,550000,22.78,5.68,2000,3,2805,Italy
1150,Maxum 2955,Classic Power Boat,36000,9.07,2.95,2002,,60,Italy
1151,White Shark 205,Sport Boat,25000,6.6,2.5,2007,,230,Italy
1152,3B Craft T37 OPEN,Fishing Boat,,11.4,3.8,2004,1,1500,Italy
1153,Sanlorenzo SL 82,Flybridge,720000,24.95,6.17,1999,4,1350,Italy
1154,Sunseeker Manhattan 70,Flybridge,900000,21.39,5.67,2010,4,922,Italy
1155,Azimut Magellano 53,Flybridge,839000,15.14,4.7,2016,4,600,Italy
1156,Rodman 940 ADV FLY,Flybridge,75000,9.33,3.27,2007,2,930,Italy
1157,Dellapasqua DC 9,Flybridge,65000,8.15,3.08,1992,2,1142,Italy
1158,Portofino Marine 10 Fly,Flybridge,69500,8.5,3.05,1998,1,1683,Italy
1159,Cantieri Navali Liguri NUOVA NAUTICA LIGURE 43,Hardtop,109000,13.0,3.6,2007,2,400,Italy
116,Cranchi ZAFFIRO 34,Motor Yacht,119000,10.34,3.5,2006,2,520,Italy
1160,Quicksilver 755 Sundeck,Cabin Cruiser,65000,7.23,2.55,2021,1,70,Italy
1161,Crownline 315 sr,Offshore Boat,72000,9.9,3.0,2007,2,650,Italy
1162,Azimut 64 fly,Flybridge,1245000,20.15,5.23,2013,3,1200,Italy
1163,Cerrimarine Cerrimarine 102 Flying Sport,Superyacht,1800000,31.5,7.2,2009,5,2800,Italy
1164,Fjord 44 Open,Motor Yacht,680000,11.99,4.25,2020,4,340,Italy
1165,Gobbi 315 SC,Sport Boat,68000,9.83,3.3,2001,1,1150,Italy
1166,Azimut 32 Targa,Cabin Cruiser,35000,10.0,3.5,1985,3,900,Italy
1167,Boston Whaler Outrage 22,Center Console,29000,6.8,,1989,,560,Italy
1168,Riva Saint Tropez,Runabout,,9.25,2.74,1986,1,,Italy
1169,Cranchi CORALLO 840,Sport Boat,27000,8.31,2.87,1994,1,,Italy
117,Pershing 76,Motor Yacht,1040000,23.49,5.51,2006,4,1000,Italy
1170,Hatteras 45,Flybridge,110000,13.84,4.17,1994,2,,
1171,Canados 72,Flybridge,799000,22.8,5.81,2005,4,795,Italy
1172,Pacific Prestige Antema 200,Motor Yacht,1180000,20.4,5.5,2007,3,2110,
1173,Sunseeker Portofino 47,Motor Yacht,345000,14.18,4.3,2007,2,800,Italy
1174,Sessa C 42,Motor Yacht,175000,12.9,3.85,2006,2,680,Italy
1175,CAD Marine Cad 30,Sport Boat,49000,9.3,3.0,2008,2,190,Italy
1176,Blu Martin SUN TOP 13.50,Motor Yacht,200000,13.5,4.05,2005,2,690,Italy
1177,Astondoa 53 OPEN HT,Hardtop,420000,15.02,4.6,2008,3,796,Italy
1178,Baia 49,Motor Yacht,120000,14.46,4.66,1990,2,600,Italy
1179,Profilmarine CHEROKEE 50 S,Sport Boat,70000,15.0,4.2,1982,2,1200,Italy
118,Azimut 84,Flybridge,2700000,23.95,6.45,2013,,380,Italy
1182,Azimut ATLANTIS 43,Hardtop,460000,13.9,4.25,2016,2,260,Italy
1183,Crownline 315 sr,Offshore Boat,72000,9.9,3.0,2007,2,650,Italy
1185,Bavaria 34 Sport HT,Hardtop,75000,10.28,3.5,2003,2,600,Italy
1186,Pyxis Yachts 30 WA CRUISE,Deck Boat,104900,9.4,3.0,2023,2,,Italy
1187,Pyxis Yachts 30 WA Cruise,Deck Boat,104900,9.4,3.0,2023,2,,Italy
1188,Pyxis Yachts 30 WA Fishing,Deck Boat,111500,9.4,3.0,2023,2,,Italy
1189,Cigala & Bertinetti SHAFT 34,Motor Yacht,19000,10.3,2.78,1974,1,,Italy
119,Posillipo Positano,Classic Power Boat,16000,5.2,2.1,1951,,,Italy
1190,Tiara 2900 Coronet,Motor Yacht,120000,9.37,3.45,2003,1,720,Italy
1192,Pyxis Yachts 30 WA Fishing,Fishing Boat,111500,9.4,2.99,2023,2,,Italy
1195,Intermare 50 FLY,Flybridge,420000,15.12,4.4,2007,3,694,Italy
1197,Gianetti Yacht DC 13,Flybridge,59000,13.9,4.22,1987,3,1326,Italy
1199,Sunseeker Predator 62,Motor Yacht,670000,17.5,4.97,2007,3,600,Italy
12,Capelli Cap 32 WA,Motor Yacht,,9.7,3.0,2007,1,950,Italy
120,Bayliner Vr5 Bowrider,Bowrider,32500,6.2,2.5,2016,,630,Italy
1201,Azimut Atlantis 43,Hardtop,455000,13.12,4.25,2017,2,135,Italy
1204,Apreamare 10 Cabin,Motor Yacht,118000,9.6,3.2,2002,1,720,Italy
1205,Giomarine Summer 25,Hardtop,50000,8.0,3.1,2006,2,60,Italy
1206,Crownline 315 sr,Offshore Boat,72000,9.9,3.0,2007,2,650,Italy
1208,Sessa C30,Sport Boat,74500,9.5,3.05,2008,1,495,Italy
1209,Jeanneau NC 11,Hardtop,155000,10.55,3.74,2011,2,10,Italy
121,Princess 95 Fly,Superyacht,2500000,29.42,7.06,2008,5,2400,Italy
1210,Jeanneau Cap Camarat 21,Center Console,13000,6.8,2.5,2000,,350,Italy
1211,Ranieri Boat evo 25,Fishing Boat,65000,8.0,2.5,2021,,60,Italy
1215,BLUE ICE 380 V,Motor Yacht,105000,9.98,3.23,2012,2,800,Italy
1216,Colombo 38 sx atlantic,Sport Boat,145000,11.59,3.2,2003,1,550,Italy
1217,Princess S 65,Motor Yacht,,20.32,5.08,2019,4,725,Italy
1218,Cranchi CSL 27,Sport Boat,41000,7.51,2.83,2006,1,540,Italy
1219,Azimut 55E Flybridge,Flybridge,520000,16.8,4.75,2007,3,642,Italy
122,Dellapasqua Della Pasqua 16 DC,Flybridge,215000,15.98,4.22,2003,4,830,Italy
1220,Tecnomar VELVET 83,Motor Yacht,1090000,23.95,6.0,2006,3,1200,Italy
1221,Bani BANI 11.00 CABINATO,Motor Yacht,110000,10.3,3.6,2006,2,620,
1222,Bertram Yacht 37' SF,Flybridge,112000,12.0,4.0,1986,2,50,Italy
1223,Fiart Mare 42 genius,Motor Yacht,,12.45,4.02,2007,3,980,Italy
1224,Cigarette R.T. 35 CAFE'RACER,Motor Yacht,85000,10.6,2.45,1988,1,183,Italy
1225,Absolute 41 refit completo 2022/2023 oltre 100.00,Motor Yacht,175000,12.35,4.14,2007,,590,Italy
1226,Galeon 800 FLY 2023 NEW BOAT,Motor Yacht,4031000,25.35,5.8,2023,,,Slovenia
1227,Cranchi Endurance 39,Motor Yacht,85000,11.95,3.5,2003,1,1100,Italy
1229,Cranchi ENDURANCE 41,Sport Boat,139000,11.93,3.5,2006,2,505,Italy
123,Saver 560 walk around,Sport Boat,,5.6,2.23,2023,1,,Italy
1230,Azimut ATLANTIS 43,Hardtop,460000,13.9,4.25,2016,2,260,Italy
1231,Sessa C 30,Motor Yacht,80000,9.5,3.0,2006,2,1050,Italy
1232,Monte Carlo Offhore 30' special,Motor Yacht,95000,7.43,2.39,1989,,,Italy
1233,Sunseeker Predator 60,Motor Yacht,320000,17.65,4.59,2001,3,1230,Italy
1234,Conam CHRONO 58 HT,Hardtop,220000,17.67,4.3,2005,3,1200,Italy
1235,Bavaria S 33 Hard Top,Hardtop,,9.61,3.31,2021,2,50,Italy
1236,Jeanneau CAP CAMARAT 925 WA,Deck Boat,159000,9.29,3.1,2009,2,25,Italy
1237,Boston Whaler 28 CONQUEST,Sport Boat,69000,9.5,3.15,2000,2,1930,Italy
1238,Cranchi Endurance 39,Motor Yacht,95000,12.42,3.5,2003,2,500,Italy
1239,Canados 58,Motor Yacht,237900,18.0,5.1,1988,4,,Italy
124,Gobbi 35 FLY,Flybridge,48000,10.5,2.9,1989,2,2100,Italy
1240,Quicksilver SUNDECK 875,Classic Power Boat,125000,8.74,3.0,2022,1,18,Italy
1241,Pershing 7x,Motor Yacht,,21.11,5.35,2023,4,,Italy
1242,Ferretti Yachts 500,Motor Yacht,1300000,15.33,4.33,2023,4,,Italy
1244,Benetti Delfino 93',Motor Yacht,4700000,28.5,7.03,2013,5,1850,Italy
1246,Rizzardi 48 IN,Motor Yacht,450000,15.25,,2016,3,960,Italy
1247,Raffaelli MAESTRALE 52,Flybridge,225000,15.83,4.3,1999,3,1700,Italy
1248,Invictus GT280,Cabin Cruiser,170000,8.9,2.84,2022,1,20,Italy
1249,Maiora 22,Motor Yacht,360000,21.59,5.85,1993,4,1300,Italy
125,Intermare 42 Fly,Flybridge,175000,12.0,4.05,2004,2,1050,Italy
1251,AZIMUT 46 FLY,Flybridge,,14.9,4.45,2003,3,930,Italy
1253,Cantiere Artigiano Gozzo,Classic Power Boat,,11.0,3.0,1962,2,,Italy
1254,Jeanneau NC9,Hardtop,179900,9.53,3.15,2018,2,,Slovenia
1255,Sagemar SAGENE 35 FLY,Flybridge,45000,10.47,3.62,1990,3,1000,Italy
1256,Hatteras 32,Flybridge,,9.98,3.57,1984,1,,Italy
1257,Cantieri di Baia B 80,Motor Yacht,425000,23.6,5.95,1997,3,1995,Italy
1258,Azimut 105,Superyacht,3495000,31.4,6.98,2007,5,1450,
1259,Eurocraft EXPLORER 44,Superyacht,13500000,43.5,8.2,2011,,6550,
126,Gariplast SHAJTANG 37,Center Console,49500,10.45,3.3,2000,1,390,Italy
1260,Posillipo-Rizzardi Technema 70',Motor Yacht,695000,21.9,5.9,2005,4,1257,Italy
1261,Abacus 62,Flybridge,590000,18.66,5.0,2004,3,1000,Italy
1262,Azimut AZ 43 Bali,Flybridge,77000,12.8,4.06,1979,2,804,Italy
1263,Grady White Boats 275 Tournament,Sport Boat,79000,8.2,2.59,2008,1,550,Italy
1264,Tuccoli Marine T440 ELBA,Motor Yacht,410000,13.64,4.12,2023,3,,Italy
1265,Tuccoli Marine T370 SPARVIERO,Motor Yacht,,9.98,3.65,2023,2,,Italy
1266,Tuccoli Marine T250 CAPRAIA,Center Console,88555,7.77,2.55,2023,1,,Italy
1267,Tuccoli Marine T250 VM,Center Console,69661,7.77,2.55,2023,1,,Italy
1268,Tuccoli Marine T210 GIANNUTRI,Center Console,64537,6.88,2.55,2023,1,,Italy
127,Mangusta ALALUNGA SPORT 85,Motor Yacht,570000,26.59,6.17,2003,,109,Italy
1270,Pardo Yachts Pardo 38,Motor Yacht,,10.95,3.6,2023,2,,Italy
1271,Invictus GT 280,Center Console,175000,8.9,2.8,2023,1,,Slovenia
1272,Ilver MIRABLE 39,Motor Yacht,85000,11.73,3.62,1993,3,1200,Italy
1273,Giomarine Summer 25,Hardtop,50000,8.0,3.1,2006,2,60,Italy
1274,Crownline 315 sr,Offshore Boat,72000,9.9,3.0,2007,2,650,Italy
1275,Cranchi ENDURANCE 41,Sport Boat,139000,11.93,3.5,2006,2,505,Italy
1278,Bavaria 37 Sport,Motor Yacht,106500,11.77,3.99,2010,2,550,Italy
